State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1085.4719999999998, Episode: 1, Step: 58
State: [[-10 -10 -10]], Action: 2, Reward: -146.84, Score: -1232.3119999999997, Episode: 1, Step: 59
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1133.3919999999996, Episode: 1, Step: 60
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1034.4719999999995, Episode: 1, Step: 61
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: -1099.4719999999995, Episode: 1, Step: 62
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -1000.5519999999996, Episode: 1, Step: 63
State: [[-10 -10 -10]], Action: 1, Reward: -64.92, Score: -1065.4719999999995, Episode: 1, Step: 64
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -966.5519999999996, Episode: 1, Step: 65
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: -897.5519999999996, Episode: 1, Step: 66
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -798.6319999999996, Episode: 1, Step: 67
State: [[-10 -10 -10]], Action: 0, Reward: -59.0, Score: -857.6319999999996, Episode: 1, Step: 68
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -758.7119999999996, Episode: 1, Step: 69
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -659.7919999999997, Episode: 1, Step: 70
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -560.8719999999997, Episode: 1, Step: 71
State: [[-10 -10 -10]], Action: 2, Reward: -146.84, Score: -707.7119999999998, Episode: 1, Step: 72
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -608.7919999999998, Episode: 1, Step: 73
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -509.8719999999998, Episode: 1, Step: 74
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -410.95199999999977, Episode: 1, Step: 75
State: [[-10 -10 -10]], Action: 1, Reward: -64.92, Score: -475.8719999999998, Episode: 1, Step: 76
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -376.95199999999977, Episode: 1, Step: 77
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -278.03199999999975, Episode: 1, Step: 78
State: [[-10 -10 -10]], Action: 0, Reward: -59.0, Score: -337.03199999999975, Episode: 1, Step: 79
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -238.11199999999974, Episode: 1, Step: 80
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -139.19199999999972, Episode: 1, Step: 81
State: [[-10 -10 -10]], Action: 2, Reward: -146.84, Score: -286.0319999999997, Episode: 1, Step: 82
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -187.11199999999968, Episode: 1, Step: 83
State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: -269.56799999999964, Episode: 1, Step: 84
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -170.64799999999963, Episode: 1, Step: 85
State: [[-10 -10 -10]], Action: 1, Reward: -64.92, Score: -235.56799999999964, Episode: 1, Step: 86
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -136.64799999999963, Episode: 1, Step: 87
State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: -219.10399999999962, Episode: 1, Step: 88
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -120.18399999999961, Episode: 1, Step: 89
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -21.263999999999612, Episode: 1, Step: 90
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: -86.26399999999961, Episode: 1, Step: 91
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 12.65600000000039, Episode: 1, Step: 92
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 111.57600000000039, Episode: 1, Step: 93
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 210.49600000000038, Episode: 1, Step: 94
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 309.4160000000004, Episode: 1, Step: 95
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 408.3360000000004, Episode: 1, Step: 96
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 507.2560000000004, Episode: 1, Step: 97
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 606.1760000000004, Episode: 1, Step: 98
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 705.0960000000003, Episode: 1, Step: 99
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 804.0160000000003, Episode: 1, Step: 100
State: [[-10 -10 -10]], Action: 1, Reward: -64.92, Score: 739.0960000000003, Episode: 1, Step: 101
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 838.0160000000003, Episode: 1, Step: 102
State: [[-10 -10 -10]], Action: 0, Reward: -59.0, Score: 779.0160000000003, Episode: 1, Step: 103
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 877.9360000000003, Episode: 1, Step: 104
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 976.8560000000002, Episode: 1, Step: 105
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1075.7760000000003, Episode: 1, Step: 106
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1174.6960000000004, Episode: 1, Step: 107
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1273.6160000000004, Episode: 1, Step: 108
State: [[-10 -10 -10]], Action: 2, Reward: -146.84, Score: 1126.7760000000005, Episode: 1, Step: 109
State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: 1044.3200000000006, Episode: 1, Step: 110
State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: 961.8640000000006, Episode: 1, Step: 111
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1060.7840000000006, Episode: 1, Step: 112
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1159.7040000000006, Episode: 1, Step: 113
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: 1094.7040000000006, Episode: 1, Step: 114
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: 1193.6240000000007, Episode: 1, Step: 115
